,Model,Accuracy,Precision,Recall,F1 Score,Mean Squared Error,TOPSIS Score,Rank
1,Doc2Vec,0.7558356676003735,0.8065241844769404,0.889026658400496,0.8457682099675612,0.3451097649005148,0.7757493509837021,1.0
4,Cosine Similarity TF-IDF,0.7530345471521942,0.7530345471521942,1.0,0.859121171770972,0.2469654528478058,0.7385638853478615,2.0
2,USE,0.7581699346405228,0.7600950118764845,0.9919404835709856,0.8606777837547068,0.177033345419197,0.713407996349677,3.0
3,Jaccard Similarity,0.4565826330532213,0.8931698774080561,0.3161810291382517,0.4670329670329671,0.3012137499355535,0.5588066691686041,4.0
0,Word2Vec,0.2469654528478058,0.0,0.0,0.0,0.7530345471521942,0.36136729958414243,5.0
